"Bezirk";"Bez-Name";"Ortsteil";"Ortst-Name";"Geschl";"Staatsangeh";"Altersgr";"Häufigkeit"
"01";"Mitte";"0101";"Mitte";"1";"A";"00_05";197,00
"01";"Mitte";"0101";"Mitte";"1";"A";"05_10";137,00
"01";"Mitte";"0101";"Mitte";"1";"A";"10_15";168,00
"01";"Mitte";"0101";"Mitte";"1";"A";"15_20";196,00
"01";"Mitte";"0101";"Mitte";"1";"A";"20_25";764,00
"01";"Mitte";"0101";"Mitte";"1";"A";"25_30";1444,00
"01";"Mitte";"0101";"Mitte";"1";"A";"30_35";1473,00
"01";"Mitte";"0101";"Mitte";"1";"A";"35_40";1208,00
"01";"Mitte";"0101";"Mitte";"1";"A";"40_45";913,00
"01";"Mitte";"0101";"Mitte";"1";"A";"45_50";705,00
"01";"Mitte";"0101";"Mitte";"1";"A";"50_55";443,00
"01";"Mitte";"0101";"Mitte";"1";"A";"55_60";280,00
"01";"Mitte";"0101";"Mitte";"1";"A";"60_65";194,00
"01";"Mitte";"0101";"Mitte";"1";"A";"65_70";130,00
"01";"Mitte";"0101";"Mitte";"1";"A";"70_75";67,00
"01";"Mitte";"0101";"Mitte";"1";"A";"75_80";58,00
"01";"Mitte";"0101";"Mitte";"1";"A";"80_85";22,00
"01";"Mitte";"0101";"Mitte";"1";"A";"85_90";15,00
"01";"Mitte";"0101";"Mitte";"1";"A";"90_95";3,00
"01";"Mitte";"0101";"Mitte";"1";"D";"00_05";1902,00
"01";"Mitte";"0101";"Mitte";"1";"D";"05_10";1363,00
"01";"Mitte";"0101";"Mitte";"1";"D";"10_15";933,00
"01";"Mitte";"0101";"Mitte";"1";"D";"15_20";728,00
"01";"Mitte";"0101";"Mitte";"1";"D";"20_25";1575,00
"01";"Mitte";"0101";"Mitte";"1";"D";"25_30";2791,00
"01";"Mitte";"0101";"Mitte";"1";"D";"30_35";3463,00
"01";"Mitte";"0101";"Mitte";"1";"D";"35_40";3341,00
"01";"Mitte";"0101";"Mitte";"1";"D";"40_45";3447,00
"01";"Mitte";"0101";"Mitte";"1";"D";"45_50";3242,00
"01";"Mitte";"0101";"Mitte";"1";"D";"50_55";2326,00
"01";"Mitte";"0101";"Mitte";"1";"D";"55_60";1805,00
"01";"Mitte";"0101";"Mitte";"1";"D";"60_65";1428,00
"01";"Mitte";"0101";"Mitte";"1";"D";"65_70";1220,00
"01";"Mitte";"0101";"Mitte";"1";"D";"70_75";1585,00
"01";"Mitte";"0101";"Mitte";"1";"D";"75_80";1229,00
"01";"Mitte";"0101";"Mitte";"1";"D";"80_85";735,00
"01";"Mitte";"0101";"Mitte";"1";"D";"85_90";237,00
"01";"Mitte";"0101";"Mitte";"1";"D";"90_95";70,00
"01";"Mitte";"0101";"Mitte";"1";"D";"95 und älter";6,00
"01";"Mitte";"0101";"Mitte";"2";"A";"00_05";187,00
"01";"Mitte";"0101";"Mitte";"2";"A";"05_10";169,00
"01";"Mitte";"0101";"Mitte";"2";"A";"10_15";157,00
"01";"Mitte";"0101";"Mitte";"2";"A";"15_20";206,00
"01";"Mitte";"0101";"Mitte";"2";"A";"20_25";957,00
"01";"Mitte";"0101";"Mitte";"2";"A";"25_30";1743,00
"01";"Mitte";"0101";"Mitte";"2";"A";"30_35";1493,00
"01";"Mitte";"0101";"Mitte";"2";"A";"35_40";1033,00
"01";"Mitte";"0101";"Mitte";"2";"A";"40_45";836,00
"01";"Mitte";"0101";"Mitte";"2";"A";"45_50";482,00
"01";"Mitte";"0101";"Mitte";"2";"A";"50_55";347,00
"01";"Mitte";"0101";"Mitte";"2";"A";"55_60";262,00
"01";"Mitte";"0101";"Mitte";"2";"A";"60_65";167,00
"01";"Mitte";"0101";"Mitte";"2";"A";"65_70";119,00
"01";"Mitte";"0101";"Mitte";"2";"A";"70_75";73,00
"01";"Mitte";"0101";"Mitte";"2";"A";"75_80";24,00
"01";"Mitte";"0101";"Mitte";"2";"A";"80_85";35,00
"01";"Mitte";"0101";"Mitte";"2";"A";"85_90";15,00
"01";"Mitte";"0101";"Mitte";"2";"A";"90_95";6,00
"01";"Mitte";"0101";"Mitte";"2";"D";"00_05";1796,00
"01";"Mitte";"0101";"Mitte";"2";"D";"05_10";1345,00
"01";"Mitte";"0101";"Mitte";"2";"D";"10_15";895,00
"01";"Mitte";"0101";"Mitte";"2";"D";"15_20";752,00
"01";"Mitte";"0101";"Mitte";"2";"D";"20_25";1622,00
"01";"Mitte";"0101";"Mitte";"2";"D";"25_30";2895,00
"01";"Mitte";"0101";"Mitte";"2";"D";"30_35";3297,00
"01";"Mitte";"0101";"Mitte";"2";"D";"35_40";2773,00
"01";"Mitte";"0101";"Mitte";"2";"D";"40_45";2642,00
"01";"Mitte";"0101";"Mitte";"2";"D";"45_50";2532,00
"01";"Mitte";"0101";"Mitte";"2";"D";"50_55";2032,00
"01";"Mitte";"0101";"Mitte";"2";"D";"55_60";1776,00
"01";"Mitte";"0101";"Mitte";"2";"D";"60_65";1413,00
"01";"Mitte";"0101";"Mitte";"2";"D";"65_70";1462,00
"01";"Mitte";"0101";"Mitte";"2";"D";"70_75";2121,00
"01";"Mitte";"0101";"Mitte";"2";"D";"75_80";1624,00
"01";"Mitte";"0101";"Mitte";"2";"D";"80_85";960,00
"01";"Mitte";"0101";"Mitte";"2";"D";"85_90";549,00
"01";"Mitte";"0101";"Mitte";"2";"D";"90_95";210,00
"01";"Mitte";"0101";"Mitte";"2";"D";"95 und älter";47,00
"01";"Mitte";"0102";"Moabit";"1";"A";"00_05";237,00
"01";"Mitte";"0102";"Moabit";"1";"A";"05_10";202,00
"01";"Mitte";"0102";"Moabit";"1";"A";"10_15";257,00
"01";"Mitte";"0102";"Moabit";"1";"A";"15_20";419,00
"01";"Mitte";"0102";"Moabit";"1";"A";"20_25";901,00
"01";"Mitte";"0102";"Moabit";"1";"A";"25_30";1250,00
"01";"Mitte";"0102";"Moabit";"1";"A";"30_35";1244,00
"01";"Mitte";"0102";"Moabit";"1";"A";"35_40";1118,00
"01";"Mitte";"0102";"Moabit";"1";"A";"40_45";1016,00
"01";"Mitte";"0102";"Moabit";"1";"A";"45_50";891,00
"01";"Mitte";"0102";"Moabit";"1";"A";"50_55";668,00
"01";"Mitte";"0102";"Moabit";"1";"A";"55_60";423,00
"01";"Mitte";"0102";"Moabit";"1";"A";"60_65";357,00
"01";"Mitte";"0102";"Moabit";"1";"A";"65_70";364,00
"01";"Mitte";"0102";"Moabit";"1";"A";"70_75";254,00
"01";"Mitte";"0102";"Moabit";"1";"A";"75_80";166,00
"01";"Mitte";"0102";"Moabit";"1";"A";"80_85";40,00
"01";"Mitte";"0102";"Moabit";"1";"A";"85_90";12,00
"01";"Mitte";"0102";"Moabit";"1";"A";"90_95";6,00
"01";"Mitte";"0102";"Moabit";"1";"A";"95 und älter";3,00
"01";"Mitte";"0102";"Moabit";"1";"D";"00_05";1509,00
"01";"Mitte";"0102";"Moabit";"1";"D";"05_10";1220,00
"01";"Mitte";"0102";"Moabit";"1";"D";"10_15";1098,00
"01";"Mitte";"0102";"Moabit";"1";"D";"15_20";1071,00
"01";"Mitte";"0102";"Moabit";"1";"D";"20_25";2327,00
"01";"Mitte";"0102";"Moabit";"1";"D";"25_30";3146,00
"01";"Mitte";"0102";"Moabit";"1";"D";"30_35";2576,00
"01";"Mitte";"0102";"Moabit";"1";"D";"35_40";1807,00
"01";"Mitte";"0102";"Moabit";"1";"D";"40_45";1908,00
"01";"Mitte";"0102";"Moabit";"1";"D";"45_50";2283,00
"01";"Mitte";"0102";"Moabit";"1";"D";"50_55";2121,00
"01";"Mitte";"0102";"Moabit";"1";"D";"55_60";1704,00
"01";"Mitte";"0102";"Moabit";"1";"D";"60_65";1461,00
"01";"Mitte";"0102";"Moabit";"1";"D";"65_70";1050,00
"01";"Mitte";"0102";"Moabit";"1";"D";"70_75";1050,00
"01";"Mitte";"0102";"Moabit";"1";"D";"75_80";641,00
"01";"Mitte";"0102";"Moabit";"1";"D";"80_85";285,00
"01";"Mitte";"0102";"Moabit";"1";"D";"85_90";124,00
"01";"Mitte";"0102";"Moabit";"1";"D";"90_95";40,00
"01";"Mitte";"0102";"Moabit";"1";"D";"95 und älter";10,00
"01";"Mitte";"0102";"Moabit";"2";"A";"00_05";212,00
"01";"Mitte";"0102";"Moabit";"2";"A";"05_10";193,00
"01";"Mitte";"0102";"Moabit";"2";"A";"10_15";270,00
"01";"Mitte";"0102";"Moabit";"2";"A";"15_20";390,00
"01";"Mitte";"0102";"Moabit";"2";"A";"20_25";896,00
"01";"Mitte";"0102";"Moabit";"2";"A";"25_30";1289,00
"01";"Mitte";"0102";"Moabit";"2";"A";"30_35";1082,00
"01";"Mitte";"0102";"Moabit";"2";"A";"35_40";992,00
"01";"Mitte";"0102";"Moabit";"2";"A";"40_45";774,00
"01";"Mitte";"0102";"Moabit";"2";"A";"45_50";687,00
"01";"Mitte";"0102";"Moabit";"2";"A";"50_55";530,00
"01";"Mitte";"0102";"Moabit";"2";"A";"55_60";473,00
"01";"Mitte";"0102";"Moabit";"2";"A";"60_65";509,00
"01";"Mitte";"0102";"Moabit";"2";"A";"65_70";371,00
"01";"Mitte";"0102";"Moabit";"2";"A";"70_75";235,00
"01";"Mitte";"0102";"Moabit";"2";"A";"75_80";139,00
"01";"Mitte";"0102";"Moabit";"2";"A";"80_85";36,00
"01";"Mitte";"0102";"Moabit";"2";"A";"85_90";18,00
"01";"Mitte";"0102";"Moabit";"2";"A";"90_95";6,00
"01";"Mitte";"0102";"Moabit";"2";"D";"00_05";1465,00
